customer_id,timestamp,amount,merchant,status
CUST_0001,2024-04-09 16:00:00,38.82,Restaurant,Approved
CUST_0001,2024-09-14 08:00:00,101.36,Restaurant,Declined
CUST_0001,2024-01-22 06:00:00,66.9,Amazon,Approved
CUST_0001,2024-02-28 17:00:00,111.13,Gas,Declined
CUST_0001,2024-06-23 21:00:00,68.71,Walmart,Approved
CUST_0001,2024-11-15 17:00:00,54.97,Amazon,Approved
CUST_0001,2024-03-29 14:00:00,92.76,Restaurant,Approved
CUST_0001,2024-09-21 19:00:00,64.89,Walmart,Approved
CUST_0001,2024-09-20 20:00:00,100.14,Gas,Approved
CUST_0001,2024-02-19 08:00:00,59.64,Restaurant,Approved
CUST_0001,2024-07-09 15:00:00,67.89,Walmart,Approved
CUST_0001,2024-09-26 17:00:00,154.04,Gas,Approved
CUST_0001,2024-08-04 20:00:00,43.31,Restaurant,Approved
CUST_0001,2024-01-15 18:00:00,18.21,Amazon,Approved
CUST_0001,2024-06-11 16:00:00,57.83,Gas,Approved
CUST_0001,2024-08-18 06:00:00,114.15,Walmart,Approved
CUST_0001,2024-03-02 21:00:00,21.5,Restaurant,Approved
CUST_0001,2024-12-25 10:00:00,135.48,Walmart,Approved
CUST_0001,2024-05-10 10:00:00,84.27,Amazon,Approved
CUST_0001,2024-09-11 10:00:00,131.28,Walmart,Approved
CUST_0001,2024-06-27 20:00:00,234.82,Gas,Approved
CUST_0001,2024-04-05 12:00:00,47.19,Restaurant,Approved
CUST_0001,2024-01-29 18:00:00,77.82,Restaurant,Approved
CUST_0001,2024-07-05 18:00:00,103.03,Gas,Approved
CUST_0001,2024-04-17 11:00:00,109.33,Restaurant,Approved
CUST_0002,2024-12-13 16:00:00,149.97,Amazon,Approved
CUST_0002,2024-12-24 18:00:00,61.63,Walmart,Approved
CUST_0002,2024-11-13 13:00:00,79.41,Amazon,Approved
CUST_0002,2024-06-08 20:00:00,42.91,Restaurant,Approved
CUST_0002,2024-11-13 14:00:00,138.42,Amazon,Approved
